			Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files										
	EXAMPLE		9-Sep	30-Aug	E. coli + pETase	LB + IPTG + Amp.	Agar	++++	3	35°C Incubator	Streak inoculation loop	Subculturing E. coli	Incubating	Re-culture on the 25/09											
																	Morphology								
Isolate # :	ID:	Group #	Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files	Isolate number 	Size ~mm	Shape	Elevation	Edge/margin	Colour	Surface	Opacity centre	Opacity outer	Observations
69	Nutrient 0g/L Salt ES F-1.2um-10^-2 ISO #69.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			69									
70	Nutrient 0g/L Salt ES F-1.2um-10^-2 ISO #70.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			70									
71	R2A 0g/L Salt ES F-1.2um-10^-2 ISO #71.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			71	0.5-1	circular	convex	entire	white	wet	opaque		
72	R2A 0g/L Salt ES F-1.2um-10^-2 ISO #72.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			72	0.5	circular	raised	filamentous	cream	wet	opaque		
73	R2A 15g/L Salt ES F-1.2um-10^-2 ISO #73.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			73	0.5-2	circular	raised	erose	cream	wet	opaque	Potential wave	
74	R2A 15g/L Salt ES F-1.2um-10^-2 ISO #74.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			74	1-3	circular	raised	undulate	cream	wet	opaque		
75	R2A 0g/L Salt ES F-0.22um-10^-1 ISO #75.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			75									
76	R2A 0g/L Salt ES F-0.22um-10^-1 ISO #76.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			76	missing??							?	
77	R2A 15g/L Salt ES F-0.1um-10^-3 ISO #77.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			77	1-2	circular	raised	entire	cream	wet	opaque	Weird	
78	R2A 15g/L Salt ES F-0.1um-10^-3 ISO #78.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			78								missing?	
